aliases,country,created,description,external_references,first_seen,goals,id,labels,last_seen,modified,name,object_marking_refs,primary_motivation,regions,resource_level,roles,secondary_motivation,secondary_motivations,targets,threat_actor_types,type,summary
"[""YoroTrooper"", ""Silent Lynx""]",,,"Cavalry Werewolf is a sophisticated threat group active since at least May 2025, specializing in highly targeted phishing attacks and custom multi-language malware. The group primarily targets Russia's public sector and key industries such as energy, mining, and manufacturing, and has shown interest in Tajikistan and the Middle East. Operations leverage trusted relationships and official-looking correspondence, often compromising real government email accounts.","[{""source_name"": ""PicusSecurity"", ""url"": ""https://www.picussecurity.com/resource/blog/cavalry-werewolf-apt"", ""description"": ""Operation Trusted Horse: Unmasking the Cavalry Werewolf APT""}]",2025-05-01T00:00:00Z,"[""Espionage"", ""Data theft"", ""Establish persistence and lateral movement""]",intrusion-set--10f3c4ec-bae3-47f6-acca-35d1afe1a43e,,2025-08-31T23:59:59Z,,Cavalry Werewolf,,espionage,,organization,,,"[""financial""]",,,intrusion-set,"The object contains information about a sophisticated threat group known as Cavalry Werewolf. This group is active since at least May 2025 and specializes in highly targeted phishing attacks using custom multi-language malware. The primary target of this group is Russia's public sector, particularly key industries such as energy, mining, and manufacturing.

Cavalry Werewolf has shown interest in expanding its operations to Tajikistan and the Middle East, leveraging trusted relationships and official-looking correspondence to compromise real government email accounts. Their methods are designed to appear legitimate, making them a formidable threat.

The group's goals include espionage, data theft, and establishing persistence and lateral movement within their targets' networks. According to external references, Cavalry Werewolf is also motivated by financial gain, which serves as its secondary motivation.

In terms of tactics, this group uses custom malware tailored for multi-language attacks, making them a unique threat in the cyber security landscape. Despite the efforts of organizations such as PicusSecurity to uncover their operations through Operation Trusted Horse, more needs to be done to counter this sophisticated actor and mitigate the risks posed by Cavalry Werewolf."
"[""Sapphire Sleet"", ""APT38"", ""Alluring Pisces"", ""Stardust Chollima"", ""TA444""]",,,"BlueNoroff is a North Korean threat actor primarily focused on financial gain, targeting blockchain developers, C-level executives, and managers in the Web3/blockchain industry. Known for the SnatchCrypto operation, including GhostCall and GhostHire campaigns. Uses advanced social engineering, malware, and AI-driven tactics.",,,"[""Financial theft"", ""Credential harvesting"", ""Supply chain compromise""]",intrusion-set--75c43a23-7786-41cb-b2e4-2c3c0fff23ca,,,,BlueNoroff,,financial-gain,,organization,,,"[""espionage""]",,,intrusion-set,"The object contains information about a threat actor known as BlueNoroff. It is primarily focused on financial gain and targets individuals in the Web3/blockchain industry, including blockchain developers, C-level executives, and managers.

BlueNoroff uses advanced tactics such as social engineering, malware, and AI-driven techniques to achieve its goals. The group is known for its involvement in the SnatchCrypto operation, which includes GhostCall and GhostHire campaigns.

The primary motivations of BlueNoroff are financial theft, credential harvesting, and supply chain compromise. These goals are driven by a desire for financial gain, with espionage being a secondary motivation.

BlueNoroff operates as an organization, targeting specific regions and individuals within the Web3/blockchain industry. The group's activities are characterized by their use of advanced tactics and techniques to achieve their objectives."
"[""APT38"", ""Hidden Cobra"", ""Labyrinth Chollima"", ""Guardians of Peace"", ""ZINC"", ""NICKEL ACADEMY"", ""Diamond Sleet"", ""Group 77"", ""Hastati Group"", ""Whois Hacking Team"", ""NewRomanic Cyber Army Team"", ""Appleworm"", ""APT-C-26"", ""ATK 3"", ""SectorA01"", ""ITG03"", ""TA404"", ""DEV-0139"", ""Gods Apostles"", ""Gods Disciples"", ""UNC577"", ""UNC2970"", ""UNC4034"", ""UNC4736"", ""UNC4899"", ""Citrine Sleet"", ""Jade Sleet"", ""TraderTraitor"", ""Gleaming Pisces"", ""Slow Pisces"", ""Operation DarkSeoul"", ""Dark Seoul"", ""Hidden Cobra"", ""Andariel"", ""Unit 121"", ""Bureau 121"", ""Bluenoroff"", ""Subgroup: Bluenoroff"", ""Operation Troy"", ""Operation GhostSecret"", ""Operation AppleJeus"", ""APT 38"", ""Stardust Chollima"", ""Zinc"", ""Nickel Academy"", ""NICKEL GLADSTONE"", ""COVELLITE"", ""ATK3"", ""G0032"", ""ATK117"", ""G0082"", ""DEV-1222"", ""Sapphire Sleet"", ""COPERNICIUM"", ""BeagleBoyz"", ""Moonstone Sleet"", ""Lazarus"", ""Genie Spider""]",,,"Lazarus Group is a North Korean state-sponsored cyber threat group active since at least 2009, known for espionage, sabotage, and financial theft. The group is associated with North Korea's Reconnaissance General Bureau and has targeted sectors including government, finance, healthcare, media, defense, aerospace, and cryptocurrency. High-profile attacks include the Sony Pictures Entertainment hack (2014), Bangladesh Bank SWIFT fraud (2016), WannaCry ransomware (2017), and Ronin Bridge cryptocurrency theft (2022). Lazarus employs advanced malware, exploits zero-day vulnerabilities, and uses a wide range of tactics including spear-phishing, watering-hole attacks, supply chain compromises, and multi-stage malware delivery.","[{""source_name"": ""Picus Security"", ""url"": ""https://www.picussecurity.com/resource/blog/lazarus-group-apt38-explained-timeline-ttps-and-major-attacks""}]",2009-01-01T00:00:00Z,"[""Espionage"", ""Sabotage"", ""Financial theft"", ""Disruption""]",intrusion-set--c2776a1a-7204-44dd-8162-6ce0747cfe36,,,,Lazarus Group,,financial gain,,nation-state,,,"[""espionage"", ""disruption""]",,,intrusion-set,"The object contains information about the Lazarus Group, a North Korean state-sponsored cyber threat group. The group is known for its involvement in espionage, sabotage, and financial theft, and has been active since at least 2009.

Lazarus Group employs advanced malware and exploits zero-day vulnerabilities to carry out its attacks. The group's tactics include spear-phishing, watering-hole attacks, supply chain compromises, and multi-stage malware delivery. High-profile targets of the group have included government agencies, financial institutions, healthcare organizations, media companies, defense contractors, aerospace firms, and cryptocurrency exchanges.

Some notable attacks attributed to Lazarus Group include the Sony Pictures Entertainment hack in 2014, the Bangladesh Bank SWIFT fraud in 2016, the WannaCry ransomware attack in 2017, and the Ronin Bridge cryptocurrency theft in 2022. The group has also been linked to several other high-profile incidents, including the hacking of the New York Times in 2014 and the theft of sensitive data from the Office of Personnel Management (OPM) in 2015.

Lazarus Group is associated with North Korea's Reconnaissance General Bureau and has targeted various sectors, including government, finance, healthcare, media, defense, aerospace, and cryptocurrency. The group's primary motivation appears to be financial gain, although it also engages in espionage and sabotage for its own sake.

The group uses a range of aliases, including APT38, Hidden Cobra, Labyrinth Chollima, and Group 77, among others. Its activities have been tracked by various threat intelligence groups, including Picus Security, which has published detailed reports on the group's activities and tactics."
"[""UNC3313""]",,,"Iranian hackers MuddyCoast (UNC3313) abused Gemini for malware development and debugging, accidentally exposing C2 domains and keys.","[{""source_name"": ""Google GTIG"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools""}]",,"[""malware development"", ""debugging""]",intrusion-set--bc6f8433-f0a0-4aec-a899-c63d2e86fe1d,,,,MuddyCoast,,espionage,,organization,,,,,,intrusion-set,"The object contains information about MuddyCoast, a group of Iranian hackers also known by their alias UNC3313. 

MuddyCoast utilized the Gemini platform for malware development and debugging purposes, which led to an accidental exposure of command-and-control (C2) domains and keys. This incident occurred due to the misuse of AI tools on the Gemini platform.

The primary motivation behind MuddyCoast's actions was espionage. They were primarily focused on using the Gemini platform as a means to develop malware and engage in debugging activities, with their ultimate goal being the exposure of sensitive information for malicious purposes.

The group's goals included malware development and debugging, indicating that they aimed to utilize the Gemini platform for creating and refining malicious software before deploying it in the wild."
,,,"Iranian group APT42 abused Gemini for phishing and data analysis, creating lures, translating content, and developing a Data Processing Agent for personal-data mining.","[{""source_name"": ""Google GTIG"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools""}]",,"[""phishing"", ""data analysis"", ""personal-data mining""]",intrusion-set--9b583de0-7f21-4505-8fe2-8efe17946f15,,,,APT42,,espionage,,organization,,,,,,intrusion-set,"The object contains information about a specific threat actor group known as APT42. The details of this group reveal its methods and activities related to cybercrime.

APT42 is an Iranian group that utilizes Gemini for phishing and data analysis purposes. This indicates the group's reliance on advanced tools and platforms like Google's AI-powered Gemini to further their malicious goals. Specifically, they employ Gemini for creating lures, translating content, and developing a Data Processing Agent designed for personal-data mining.

Furthermore, APT42's activities are motivated by espionage. The primary motivation of this threat actor is clearly outlined as espionage, signifying the group's focus on gathering sensitive information through illicit means.

In terms of their goals, APT42 has identified three main objectives: phishing, data analysis, and personal-data mining. These targets suggest a concerted effort to compromise security systems, gather intelligence, and exploit sensitive information.

This threat actor is categorized under organization level threats, implying that the group's activities span multiple aspects of a larger operation or entity.

In summary, APT42's utilization of Gemini highlights their sophisticated approach to cybercrime, while their espionage-driven motivations underscore their intent to infiltrate security systems. The group's focus on phishing, data analysis, and personal-data mining further emphasize the scope and nature of their illicit activities."
,,,"China's APT41 leveraged Gemini for code assistance, enhancing its OSSTUN C2 framework and utilizing obfuscation libraries to increase malware sophistication.","[{""source_name"": ""Google GTIG"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools""}]",,"[""malware development"", ""C2 enhancement""]",intrusion-set--087a57ce-ff88-499d-8529-33cb006b117e,,,,APT41,,espionage,,organization,,,,,,intrusion-set,"The object contains information about APT41, a threat actor associated with espionage. The description provided highlights the group's use of AI tools, specifically Gemini, to enhance its malicious capabilities.

Gemini was leveraged by APT41 for code assistance, which allowed the group to improve its OSSTUN C2 framework and increase malware sophistication through obfuscation libraries. This suggests that APT41 is utilizing advanced technologies to further its espionage goals.

The group's primary motivation is espionage, with secondary motivations potentially related to malware development and exploitation. However, specific details on these latter objectives are not provided in the available information."
"[""UNC1069""]",,,"North Korean threat group Masan (UNC1069) utilized Gemini for crypto theft, multilingual phishing, and creating deepfake lures.","[{""source_name"": ""Google GTIG"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools""}]",,"[""crypto theft"", ""phishing"", ""deepfake creation""]",intrusion-set--d84b6f81-a3f4-43c0-9f00-a9e8eeff4e56,,,,Masan,,financial gain,,organization,,,,,,intrusion-set,"The object contains information about a North Korean threat group known as Masan, also referred to by the alias UNC1069. The group has been linked to various malicious activities, including crypto theft, multilingual phishing, and creating deepfake lures.

Masan's primary motivation for engaging in these activities appears to be financial gain, with the ultimate goal of exploiting individuals and organizations for monetary benefit. 

The threat actor's methods include utilizing the Gemini platform for their nefarious purposes."
"[""UNC4899""]",,,North Korean threat group Pukchong (UNC4899) employed Gemini for developing code targeting edge devices and browsers.,"[{""source_name"": ""Google GTIG"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools""}]",,"[""malware development"", ""edge device targeting"", ""browser targeting""]",intrusion-set--c36d2d48-1d4d-4b2c-a19a-f40786a1251c,,,,Pukchong,,espionage,,organization,,,,,,intrusion-set,"The object contains information about a North Korean threat group known as Pukchong (UNC4899). The group was identified for employing Gemini, an AI tool, to develop code targeting edge devices and browsers. 

Pukchong's primary motivations are espionage and developing malware. Their goals include targeting edge devices, browsers, and other malicious activities like this."
"[""CLEARFAKE""]",,,"UNC5142 is a threat actor associated with the financially motivated CLEARFAKE campaign, leveraging EtherHiding to distribute malware via deceptive overlays and compromised websites.","[{""source_name"": ""Google Threat Intelligence Group"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/unc5142-etherhiding-distribute-malware""}]",,,intrusion-set--68b18acd-514a-44dc-8248-80ec3e995915,,,,UNC5142,,financial,,unknown,,,,,,intrusion-set,"The object contains information about a threat actor known as UNC5142. This entity is associated with the financially motivated CLEARFAKE campaign and utilizes the EtherHiding technique to distribute malware through deceptive overlays and compromised websites.

UNC5142 leverages this method to compromise websites and overlay malicious content, which can lead to the distribution of malware. The primary motivation behind this activity is financial gain."
"[""COLDRIVER""]",,,"Threat actors suspected to be linked to Russian FSB cluster COLDRIVER, responsible for the PhantomCaptcha campaign targeting Ukrainian humanitarian and government organizations.","[{""source_name"": ""sentinelone"", ""url"": ""https://www.sentinelone.com/labs/category/adversary/""}, {""source_name"": ""zscaler"", ""url"": ""https://www.zscaler.com/blogs/security-research/coldriver-updates-arsenal-baitswitch-and-simplefix""}, {""source_name"": ""google"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/coldriver-steal-documents-western-targets-ngos""}]",2025-03-27T00:00:00Z,,intrusion-set--fafd4f1f-6804-4d67-947a-51e8f965d634,,,,PhantomCaptcha Operators (suspected COLDRIVER),,,,,,,,,,intrusion-set,"The object contains information about an intrusion set attributed to the threat actors suspected of being linked to the Russian FSB cluster known as COLDRIVER. This cluster is responsible for the PhantomCaptcha campaign, which targets Ukrainian humanitarian and government organizations.

PhantomCaptcha is a malicious campaign that utilizes various tactics, including phishing and spear-phishing attacks, to gain unauthorized access to sensitive information and systems. The campaign's goals are not explicitly stated, but it appears to be primarily focused on stealing documents and other valuable data from its targets.

The intrusion set in question is believed to be operated by actors suspected of being linked to COLDRIVER, a known Russian FSB cluster. While the exact motivations behind this campaign are unclear, it is likely that the primary motivation is to compromise the security of Ukrainian organizations and gain access to sensitive information.

It is worth noting that there may be secondary motivations or motivations that are not immediately apparent. Additionally, the campaign's tactics and techniques are likely to evolve over time as the threat actors continue to adapt and improve their methods.

The object contains various metadata fields, including external references from reputable sources such as SentinelOne, Zscaler, and Google. These references provide additional context and information about the campaign and its potential impact.

Overall, the intrusion set attributed to COLDRIVER is a concerning development in the realm of cyber threats, particularly for Ukrainian organizations and individuals. It highlights the importance of robust cybersecurity measures and vigilance in detecting and responding to such threats."
,,,"Threat activity cluster tracked as CL-STA-1009 is linked with medium confidence to a nation-state actor operating through likely supply chain attack vectors, utilizing the Airstalk malware family for persistent access and credential theft.","[{""source_name"": ""Unit42 Palo Alto Networks"", ""url"": ""https://unit42.paloaltonetworks.com/new-windows-based-malware-family-airstalk/""}]",,,intrusion-set--375f3696-8f16-416b-85eb-d749ccdea772,,,,CL-STA-1009,,,,,,,,,,intrusion-set,"The object contains a threat activity cluster tracked as CL-STA-1009, which is linked to a nation-state actor operating through supply chain attack vectors. The actor utilizes the Airstalk malware family for persistent access and credential theft. 

This intrusion-set is notable due to its association with medium confidence in linking it to a specific nation-state actor. The threat actor likely employs various tactics, including utilizing malware families, to achieve their goals.

The primary source of information regarding this threat comes from Unit42 Palo Alto Networks, which provides an overview of the Airstalk malware family and its implications for national security."
"[""Agenda""]",,,"Qilin is a ransomware group operating under a Ransomware-as-a-Service (RaaS) model since July 2022. The group and its affiliates conduct attacks worldwide, targeting manufacturing, professional/scientific services, and wholesale trade sectors. Qilin is notable for its leak site, double-extortion tactics, and frequent use of tools such as PsExec, WinRAR, Cyberduck, and various credential theft utilities. The group has shown signs of Eastern European or Russian-speaking origins.","[{""source_name"": ""Talos Blog"", ""url"": ""https://blog.talosintelligence.com/2025/10/uncovering-qilin-attack-methods-exposed-through-multiple-cases""}]",2022-07-01T00:00:00Z,"[""Financial gain via ransom payments"", ""Data theft and extortion""]",intrusion-set--0d8f5340-77cb-478a-917f-68d636a6d82b,,2025-10-26T00:00:00Z,,Qilin,,financial,,organization,,,,,,intrusion-set,"The object contains information about Qilin, a ransomware group operating under a Ransomware-as-a-Service (RaaS) model since July 2022. The group's primary goal is to achieve financial gain through ransom payments, while also engaging in data theft and extortion.

Qilin has been identified as a threat actor with Eastern European or Russian-speaking origins. Their attack methods have been exposed through various cases, including those documented on the Talos Blog website. The group uses tools such as PsExec, WinRAR, Cyberduck, and credential theft utilities to carry out its attacks.

The organization targets manufacturing, professional/scientific services, and wholesale trade sectors worldwide. Qilin's leak site is notable for its ability to expose sensitive information, while their double-extortion tactics make them a particularly formidable threat.

The group's use of PsExec and WinRAR highlights the importance of robust cybersecurity measures in protecting against such threats. Additionally, the fact that Qilin's motivations are driven by financial gain underscores the need for organizations to prioritize security protocols and invest in threat intelligence.

Overall, the Qilin ransomware group represents a significant threat to global cybersecurity, with its sophisticated tools and tactics making it a prime target for attack."
"[""Kimsuky""]",,,"Kimsuky is a North Korean threat group active since 2012, predominantly responsible for espionage operations against government entities, think tanks, and subject matter experts.","[{""source_name"": ""Pulsedive"", ""url"": ""https://pulsedive.com/threat/Kimsuky""}]",,,intrusion-set--33845c96-a224-4ad1-942a-69e11b30eeee,,,,Kimsuky,,,,,,,,,,intrusion-set,"The object contains information about Kimsuky, a North Korean threat group. Kimsuky is primarily active since 2012, focusing on espionage operations targeting government entities, think tanks, and subject matter experts.

The group's goals and motivations are not explicitly stated, but it is mentioned that Kimsuky is responsible for carrying out these operations. The object also provides information about the group's activities, including targets and threat actor types, although these details are not fully specified.

A notable source referencing Kimsuky can be found at https://pulsedive.com/threat/Kimsuky."
"[""SkyCloak""]",,,"A multi-stage intrusion set targeting Russian and Belarusian military personnel, deploying PowerShell stagers, OpenSSH, and Tor bridges for covert remote access and persistence. Attribution is currently unknown, but the campaign shows overlaps with Eastern European-linked espionage activity.","[{""source_name"": ""Seqrite SkyCloak Blog"", ""url"": ""https://www.seqrite.com/blog/category/cybersecurity/apt/""}]",2025-09-25T00:00:00Z,"[""Espionage against Russian and Belarusian military and defense sectors"", ""Establish covert remote access and lateral movement""]",intrusion-set--c10da53c-7379-4e59-9bc6-989c4116888f,,,,SkyCloak,,espionage,,organization,,,[],"[{""type"": ""identity"", ""id"": ""identity--"", ""name"": ""Russian Ministry of Defence"", ""identity_class"": ""organization"", ""sectors"": [""government"", ""military""], ""location"": ""Russian Federation""}, {""type"": ""identity"", ""id"": ""identity--"", ""name"": ""Belarusian Special Forces"", ""identity_class"": ""organization"", ""sectors"": [""government"", ""military""], ""location"": ""Republic of Belarus""}]",,intrusion-set,"The object contains a detailed description of an intrusion set dubbed ""SkyCloak"", which is a multi-stage attack targeting Russian and Belarusian military personnel. 

This campaign utilizes various tools including PowerShell stagers, OpenSSH, and Tor bridges to enable covert remote access and persistence. The attribution behind this malicious activity remains unknown but shows overlaps with Eastern European-linked espionage activities.

The goals of SkyCloak include espionage against the Russian and Belarusian military and defense sectors as well as establishing covert remote access and lateral movement. 

Key details about the targeted entities include the Russian Ministry of Defence and the Belarusian Special Forces, both identified as government organizations within their respective countries."
[],,,"A hacker group tracked by FortiGuard Labs conducting shifting campaigns across China, Taiwan, Japan, and Malaysia. Known for evolving malware delivery tactics and infrastructure reuse.","[{""source_name"": ""Fortinet Blog"", ""url"": ""https://www.fortinet.com/blog/threat-research/tracking-malware-and-attack-expansion-a-hacker-groups-journey-across-asia""}]",,"[""Information theft"", ""Persistence"", ""Evasion""]",intrusion-set--25458c81-e219-45a8-8fee-68fcd3dac597,"[""threat-group"", ""asia"", ""malware-campaign""]",,,Unidentified Asia-focused Threat Group,,espionage,,organization,,,,,,intrusion-set,"The object contains information about an Unidentified Asia-focused Threat Group, a hacker group tracked by FortiGuard Labs. The group is known for conducting shifting campaigns across China, Taiwan, Japan, and Malaysia.

The primary motivation of the group is espionage, with goals that include information theft, persistence, and evasion. They are particularly skilled at evolving malware delivery tactics and reusing infrastructure.

The group's activities have been documented in a Fortinet Blog article, which provides insight into their campaigns and methods. Despite being tracked, the exact nature and scope of the group's operations remain unclear.

Overall, the Unidentified Asia-focused Threat Group represents a sophisticated threat actor with a strong focus on espionage and evasion, using advanced tactics to evade detection and persist in their targets."
"[""红雨滴团队"", ""Red Rain Drop""]",,,"A security team that first exposed the exploitation of the ZipperDown vulnerability by APT groups in the wild, focusing on counter-APT operations in Northeast Asia.",,,"[""Espionage"", ""Targeting mobile endpoints"", ""Collection of sensitive data from Chinese and North Korean users""]",intrusion-set--3ac85642-e74f-41c2-a2b0-e84497349a79,,,,Red Rain Drop Team,,,,,,,,,,intrusion-set,"The object contains information about a security team known as the ""Red Rain Drop Team"". The team's aliases include ""红雨滴团队"" and ""Red Rain Drop"", indicating that they operate under different names or codes. 

Their focus is on counter-APT operations, particularly in Northeast Asia. This implies that their primary goal is to detect and mitigate cyber threats targeting mobile endpoints, specifically focusing on Chinese and North Korean users.

The team's objectives include espionage, targeting mobile endpoints, and collecting sensitive data from these specific user groups. Their motivations are primarily driven by the need to counter APT (Advanced Persistent Threat) operations in Northeast Asia.

Key details about the Red Rain Drop Team include their name, description, goals, and region of focus."
"[""南星行动"", ""Operation South Star""]",,,"A suspected MSMT framework-backed intelligence operation targeting domestic mobile software via 0day vulnerabilities, focusing on espionage and counterintelligence in Northeast Asia.",,,"[""Espionage"", ""Counterintelligence"", ""Targeting mobile endpoints""]",intrusion-set--19584df7-005c-4fed-8547-d6abbbc06529,,,,Operation South Star,,,,,,,,,,intrusion-set,"The object contains information about an alleged intelligence operation known as ""Operation South Star"". The operation is suspected to be backed by the MSMT framework, a group commonly associated with Chinese cyber espionage. 

The main goal of this operation was to target domestic mobile software via 0day vulnerabilities in order to gather intelligence and conduct counterintelligence activities in Northeast Asia. It focused specifically on espionage.

Some key elements of this operation include targeting mobile endpoints as part of its espionage activities."
"[""REF3927""]",,,"REF3927 is a Chinese-speaking threat actor responsible for compromising IIS servers globally using publicly disclosed ASP.NET machine keys. The group deploys TOLLBOOTH IIS modules, Godzilla EKP webshells, GotoHTTP RMM tools, and HIDDENDRIVER rootkits. Their main objective is monetization via SEO cloaking and maintaining persistent access.","[{""source_name"": ""Elastic Security Labs"", ""url"": ""https://www.elastic.co/security-labs/tollbooth""}]",,"[""Monetize compromised IIS servers via SEO cloaking"", ""Maintain persistent access"", ""Credential theft"", ""Defense evasion""]",intrusion-set--7acfb38d-3d72-4592-9415-0d8a2eddeaae,,,,REF3927,,financial,,organization,,,,,,intrusion-set,"The object contains information about a Chinese-speaking threat actor known as REF3927. The group is responsible for compromising Internet Information Services (IIS) servers worldwide by exploiting publicly disclosed ASP.NET machine keys.

REF3927 deploys various tools and modules, including TOLLBOOTH IIS modules, Godzilla EKP webshells, GotoHTTP RMM tools, and HIDDENDRIVER rootkits. Their primary objective is to monetize compromised servers through search engine optimization (SEO) cloaking while maintaining persistent access.

The threat actor's goals include:

* Monetizing compromised IIS servers via SEO cloaking
* Maintaining persistent access
* Credential theft
* Defense evasion

REF3927 is a financially motivated threat actor, and their activities are documented by Elastic Security Labs. The object does not provide further details on the group's first seen date or last seen date due to missing information.

Overall, REF3927 poses a significant threat to organizations with IIS servers, as they can exploit vulnerabilities in these systems to gain unauthorized access and maintain persistence."
"[""Mysterious Elephant""]",,,"Mysterious Elephant is a highly active advanced persistent threat (APT) group discovered by Kaspersky GReAT in 2023. The group targets government entities and foreign affairs sectors in the Asia-Pacific region, with a focus on countries such as Pakistan, Bangladesh, Afghanistan, Nepal, and Sri Lanka. Mysterious Elephant employs spear phishing, custom-made and open-source tools, and WhatsApp-specific exfiltration modules to infiltrate and exfiltrate sensitive information. The group is known for evolving its tactics, techniques, and procedures to evade detection.","[{""source_name"": ""Securelist"", ""url"": ""https://securelist.com/mysterious-elephant-apt-ttps-and-tools/117596/""}]",,"[""Espionage"", ""Data theft"", ""Targeted attacks on government and diplomatic sectors""]",intrusion-set--811d629c-4459-4c86-97dd-71a5a22b9303,,,,Mysterious Elephant,,espionage,"[""Asia-Pacific"", ""Pakistan"", ""Bangladesh"", ""Sri Lanka"", ""Afghanistan"", ""Nepal""]",organization,,,"[""data theft""]","[""Government entities"", ""Foreign affairs sectors"", ""Diplomatic institutions""]",,intrusion-set,"The object contains information about a highly active advanced persistent threat (APT) group known as Mysterious Elephant. The group was discovered by Kaspersky GReAT in 2023 and targets government entities and foreign affairs sectors in the Asia-Pacific region, primarily focusing on countries such as Pakistan, Bangladesh, Afghanistan, Nepal, and Sri Lanka.

Mysterious Elephant employs a range of tactics to infiltrate and exfiltrate sensitive information, including spear phishing, custom-made tools, and WhatsApp-specific exfiltration modules. The group is known for its ability to evolve its tactics, techniques, and procedures to evade detection.

The primary motivations of Mysterious Elephant are espionage, data theft, and targeted attacks on government and diplomatic sectors. The group's goals include stealing sensitive information and disrupting the operations of target organizations.

Mysterious Elephant primarily targets government entities, foreign affairs sectors, and diplomatic institutions in the Asia-Pacific region. The group has been active since its discovery by Kaspersky GReAT in 2023 and continues to pose a significant threat to organizations in these regions.

The object also contains information about Mysterious Elephant's tools and tactics, including custom-made and open-source tools used for spear phishing and exfiltration. Additionally, the group uses WhatsApp-specific modules to facilitate communication and data transfer.

In conclusion, Mysterious Elephant is a highly active APT group that targets government entities and foreign affairs sectors in the Asia-Pacific region, using a range of tactics and techniques to infiltrate and exfiltrate sensitive information."
